Issue key,Issue id,Summary,Custom field (Bundle Version),Assignee,Created,Priority,Status,Custom field (Moment ID),Custom field (Linked LSTI/DVTI),Custom field (Linked LSTI/DVTI),Custom field (Linked LSTI/DVTI),Custom field (Linked LSTI/DVTI),Custom field (Linked LSTI/DVTI)
MON-2425327,2603546,不合理制动,v1.0.9-p2-Beta-20241009-irs2-LQ_4H70_B_VEHICLE_LYRA,jingpeng.sun,2024-12-19 6:06 PM,P1,Done,989ebe4c-87cd-4077-be72-a74af93bb390,LSTI-5241,,,,
MON-2425265,2603478,未触发对后车避让,v0.8.96-adlst-0606.patch.19-irs2-LQ_4H70_B_VEHICLE_LYRA,keming.zheng,2024-12-19 3:37 PM,P1,Done,08faad1a-28a2-45ad-aa8f-ce68b9482962,LSTI-5267,,,,
MON-2425257,2603470,不合理制动,v1.0.9-p6-Beta-20241204-irs2-DF_HG01_C_VEHICLE_LYRA,jingpeng.sun,2024-12-19 2:49 PM,P1,Done,db2c015a-800c-4db2-8932-b4d9e05ed0b7,LSTI-4839,,,,
MON-2425208,2603420,超车未完成避让提前结束,v0.8.96-adlst-0606.patch.19-irs2-LQ_4H70_B_VEHICLE_LYRA,keming.zheng,2024-12-19 10:43 AM,P1,Done,99f9970a-a623-4858-a2dd-00441453b10f,LSTI-5216,,,,
MON-2425139,2603344,莱芜枢纽汇入主路后，fallback，rf_err_input_boundaries_shape_inconsistent_with_map,v1.1.10-Alpha-20241213-2-g0fe684d36-irs2-0e4ff4b1-COMMON_LYRA,,2024-12-19 3:54 AM,P2,Done,abcdf295-e84a-4446-8198-14c5f4d90aa8,LSTI-4958,,,,
MON-2425113,2603311,系统误报小心施工,v1.0.9-Beta-20240911-64-g2666792d7-irs2-8296a8ac-DF_HG01_C_VEHICLE_LYRA,ruiliang.li,2024-12-19 2:04 AM,P1,Done,6f18ed60-0f4e-45da-b466-ed9709b90f0e,,,,,
MON-2424986,2603150,车辆行驶时出现降速,v1.0.9-p6-Beta-20241204-irs2-LQ_4H70_B_VEHICLE_LYRA,jingpeng.sun,2024-12-18 10:55 PM,P1,Done,7266f0ed-c2c2-4a90-8835-00d47ce82c9a,LSTI-5014,,,,
MON-2424972,2603119,下坡误制动,v0.8.96-adlst-0606.patch.19-irs2-LQ_4H70_B_VEHICLE_LYRA,jingpeng.sun,2024-12-18 9:18 PM,P1,Done,54f1aa27-10fc-4e9d-abfe-72b0484558eb,LSTI-5554,,,,
MON-2424949,2603093,【TSAudio】Fallback,v1.0.12-Alpha-20241025-4-g4e7c269ad-jazz-5bd776ec-irs2-01a1dcab-DF_H19X_C_VEHICLE_LYRA,jingpeng.sun,2024-12-18 8:07 PM,P2,Done,62681978-c31d-4bb4-a334-62b79790eea5,LSTI-5429,,,,
MON-2424918,2603048,误触发避让,v0.8.96-adlst-0606.patch.10-irs2-DF_HG01_C_VEHICLE_LYRA,jingpeng.sun,2024-12-18 5:21 PM,P1,Done,ac641ccd-167d-4eab-b044-37d61362230b,LSTI-4839,,,,
MON-2424914,2603044,【TSAudio】偏左偏右,v1.0.7-p1-GA-20240926-irs2-DF_H19X_T_VEHICLE_M51_LC,jingpeng.sun,2024-12-18 4:54 PM,P2,Done,48b2d277-4728-4eb8-b3b8-2c95d0db573b,LSTI-5062,,,,
MON-2424899,2603029,【TSAudio】Fallback,v1.0.9-p2-Beta-20241009-irs2-LQ_4H70_B_VEHICLE_LYRA,jingpeng.sun,2024-12-18 3:52 PM,P2,Done,28e92b5a-4d42-408f-83f1-b2be25a9cc7b,LSTI-5206,,,,
MON-2424881,2603011,不合理制动,v0.8.96-adlst-0606.patch.10-irs2-DF_HG01_C_VEHICLE_LYRA,jingpeng.sun,2024-12-18 2:46 PM,P1,Done,08696c8b-c592-45ac-9220-eb8814470574,LSTI-5556,,,,
MON-2424878,2603008, 隧道内误制动,v1.0.9-p6-Beta-20241204-2-g87e1938a8-irs2-e3feda82-DF_HG01_C_VEHICLE_LYRA,jingpeng.sun,2024-12-18 2:37 PM,P1,Done,6671e728-ede3-412e-bdd6-1b90530d862b,LSTI-4839,,,,
MON-2424869,2602999,异常刹车,v1.0.9-p6-Beta-20241204-irs2-DF_HG01_C_VEHICLE_LYRA,keming.zheng,2024-12-18 1:35 PM,P1,Done,d28ea535-a9c5-463a-8bd1-00b31233e8ea,LSTI-4839,,,,
MON-2424868,2602998,不合理制动,v1.0.7-p1-GA-20240926-irs2-DF_H19X_T_VEHICLE_M51_LC,jingpeng.sun,2024-12-18 1:29 PM,P1,Done,6091724f-fe98-4a53-b58a-abcedd18f998,LSTI-5241,,,,
MON-2424866,2602996,异常重刹,v1.0.9-p6-Beta-20241204-2-g87e1938a8-irs2-e3feda82-DF_HG01_C_VEHICLE_LYRA,keming.zheng,2024-12-18 1:22 PM,P1,Done,c9ce5527-08f0-43a6-a818-d8f48a848ca1,LSTI-4839,,,,
MON-2424864,2602994,三车道有车，自车往三车道变道,v0.8.96-adlst-0606.patch.19-irs2-LQ_4H70_B_VEHICLE_LYRA,keming.zheng,2024-12-18 1:13 PM,P1,Done,37a81c3f-4215-4b82-8034-c0508b54c112,LSTI-5219,,,,
MON-2424855,2602985,异常刹车,v1.0.7-p1-GA-20240926-irs2-DF_H19X_T_VEHICLE_M51_LC,keming.zheng,2024-12-18 12:21 PM,P2,Done,dfcfaaf4-2036-4f85-be3f-88778aa06add,LSTI-4764,,,,
MON-2424854,2602984,【TSAudio】ALC,v1.0.9-Beta-20240911-64-g2666792d7-irs2-8296a8ac-DF_HG01_C_VEHICLE_LYRA,ruiliang.li,2024-12-18 12:18 PM,P2,Done,71bc0b09-fb36-4cc5-a5a2-6d048e5affaf,,,,,
